,created_date,complaint_type,incident_zip,status
245,2019-12-11T14:41:16.000,Illegal Parking,10040,In Progress
246,2019-12-11T14:41:01.000,Elevator,10452,Open
247,2019-12-11T14:40:15.000,Street Sign - Missing,11004,In Progress
248,2019-12-11T14:39:57.000,HEAT/HOT WATER,11213,Open
249,2019-12-11T14:39:53.000,GENERAL,10452,Open
250,2019-12-11T14:39:51.000,Abandoned Vehicle,10301,In Progress
251,2019-12-11T14:39:48.000,Noise - Residential,11236,In Progress
252,2019-12-11T14:38:39.000,HEAT/HOT WATER,10462,Open
253,2019-12-11T14:38:37.000,Blocked Driveway,10302,In Progress
254,2019-12-11T14:38:00.000,Noise,11207,Open
255,2019-12-11T14:38:00.000,Street Light Condition,11413,Open
256,2019-12-11T14:37:50.000,Illegal Parking,11434,In Progress
257,2019-12-11T14:37:49.000,Homeless Person Assistance,10017,Closed
258,2019-12-11T14:37:13.000,General Construction/Plumbing,11235,Open
259,2019-12-11T14:37:13.000,General Construction/Plumbing,11216,Open
260,2019-12-11T14:37:13.000,Emergency Response Team (ERT),10128,Open
261,2019-12-11T14:36:48.000,Blocked Driveway,11201,In Progress
262,2019-12-11T14:36:28.000,HEAT/HOT WATER,10033,Open
263,2019-12-11T14:36:15.000,Sidewalk Condition,11413,In Progress
264,2019-12-11T14:35:29.000,HEAT/HOT WATER,10468,Open
265,2019-12-11T14:35:26.000,HEAT/HOT WATER,10024,Open
266,2019-12-11T14:35:25.000,HEAT/HOT WATER,11102,Open
267,2019-12-11T14:35:23.000,Building/Use,11234,Closed
268,2019-12-11T14:35:23.000,Building/Use,11233,Open
269,2019-12-11T14:35:23.000,General Construction/Plumbing,11221,Open
270,2019-12-11T14:35:23.000,WATER LEAK,10019,Open
271,2019-12-11T14:35:23.000,General Construction/Plumbing,11249,Assigned
272,2019-12-11T14:35:23.000,General Construction/Plumbing,10036,Open
273,2019-12-11T14:35:18.000,HEAT/HOT WATER,11374,Open
274,2019-12-11T14:35:03.000,Noise - Residential,10029,In Progress
275,2019-12-11T14:34:37.000,Illegal Parking,11223,In Progress
276,2019-12-11T14:34:00.000,Sewer,10018,Open
277,2019-12-11T14:33:13.000,Illegal Parking,11419,In Progress
278,2019-12-11T14:32:43.000,PLUMBING,10040,Open
